City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Vallenar,CL,-28.5708,-70.7581,83.17,30,99,10.4,overcast clouds
272,Tezu,IN,27.9167,96.1667,61.34,88,15,3.33,few clouds
273,Ocos,GT,14.5094,-92.1933,93.7,71,2,5.19,clear sky
274,Arman,RU,59.7,150.1667,-9.49,96,100,7.47,overcast clouds
275,Eureka,US,40.8021,-124.1637,54.18,96,0,3.0,clear sky
276,Kousseri,CM,12.0769,15.0306,80.56,17,59,5.75,dust
277,Gannan,CN,47.9147,123.5031,13.75,92,12,0.81,few clouds
278,Howard Springs,AU,-12.497,131.047,79.83,96,80,1.14,broken clouds
279,Juegang,CN,32.3174,121.1855,51.91,75,100,8.86,overcast clouds
280,Serenje,ZM,-13.2325,30.2352,70.52,35,5,5.73,clear sky
281,Fortuna,US,40.5982,-124.1573,54.36,70,75,1.01,broken clouds
282,Atar,MR,20.5169,-13.0499,74.05,9,80,10.0,broken clouds
283,Souillac,MU,-20.5167,57.5167,79.18,73,40,6.91,scattered clouds
284,Watertown,US,42.3709,-71.1828,43.34,42,1,8.01,clear sky
285,Severo-Kurilsk,RU,50.6789,156.125,29.73,60,96,22.44,overcast clouds
286,Nanortalik,GL,60.1432,-45.2371,17.17,51,93,2.17,overcast clouds
287,Kiama,AU,-34.6833,150.8667,62.01,93,100,1.01,overcast clouds
288,Constitucion,CL,-35.3333,-72.4167,64.04,63,0,6.71,clear sky
289,Zvenigovo,RU,55.9742,48.0181,18.55,75,100,17.02,light snow
290,Tsumeb,NA,-19.2333,17.7167,72.95,36,68,6.62,broken clouds
291,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,87.01,65,88,3.53,overcast clouds
292,Touros,BR,-5.1989,-35.4608,85.1,66,19,14.97,few clouds
293,Buckeye,US,33.3703,-112.5838,74.39,27,100,9.22,overcast clouds
294,Straumen,NO,63.8709,11.2999,19.35,86,100,4.23,overcast clouds
295,Panaba,MX,21.2833,-88.2667,91.94,41,7,8.77,clear sky
296,Placido De Castro,BR,-10.3353,-67.1856,86.81,60,92,2.84,overcast clouds
297,Zhatay,RU,62.1594,129.8294,-44.95,66,90,0.0,fog
298,Providencia,MX,28.7167,-111.5833,80.85,49,0,13.27,clear sky
299,Olafsvik,IS,64.8945,-23.7142,35.17,63,73,10.71,light rain
300,Chapais,CA,49.7834,-74.8492,-4.22,84,80,11.63,broken clouds
301,Oshawa,CA,43.9001,-78.8496,30.06,58,90,5.75,overcast clouds
302,Roma,US,43.2128,-75.4557,35.11,85,90,8.05,light snow
303,Great Falls,US,47.5002,-111.3008,46.92,69,1,8.01,clear sky
304,Mitsamiouli,KM,-11.3847,43.2844,80.89,74,20,9.22,few clouds
305,Klaksvik,FO,62.2266,-6.589,34.72,68,100,5.14,overcast clouds
306,Salinas,US,36.6777,-121.6555,60.91,83,90,9.22,overcast clouds
307,Anloga,GH,5.7947,0.8973,84.42,79,9,9.69,clear sky
308,Namibe,AO,-15.1961,12.1522,73.02,58,7,10.83,clear sky
309,Hambantota,LK,6.1241,81.1185,77.34,100,20,3.44,few clouds
310,Campbell River,CA,50.0163,-125.2446,36.45,98,90,3.44,mist
311,Marsaxlokk,MT,35.8419,14.5431,60.08,70,1,31.97,clear sky
312,Iberia,US,29.9502,-91.7507,57.97,94,90,6.91,mist
313,Walvis Bay,NA,-22.9575,14.5053,65.35,68,1,5.75,clear sky
314,Guerrero Negro,MX,27.9769,-114.0611,68.72,57,0,5.03,clear sky
315,Kanturk,IE,52.1667,-8.9,43.81,86,100,35.84,overcast clouds
316,Miandrivazo,MG,-19.5167,45.4667,83.48,57,0,4.5,clear sky
