City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,La Ronge,CA,2021-12-03 00:19:53,55.1001,-105.2842,16.05,92,90,5.75
153,Ryotsu,JP,2021-12-03 00:19:53,38.0833,138.4333,42.76,63,5,15.26
154,Chapleau,CA,2021-12-03 00:19:53,47.8405,-83.4034,14.77,88,100,9.8
155,San Andres,CO,2021-12-03 00:19:54,12.5847,-81.7006,80.62,83,40,9.22
156,Opuwo,NA,2021-12-03 00:19:54,-18.0607,13.84,67.44,36,55,2.13
157,Wanning,CN,2021-12-03 00:19:54,18.8003,110.3967,61.03,67,5,8.39
158,Sitka,US,2021-12-03 00:19:55,57.0531,-135.33,33.69,75,90,11.5
159,Kudahuvadhoo,MV,2021-12-03 00:19:55,2.6708,72.8944,81.86,76,96,6.98
160,Oranjemund,NA,2021-12-03 00:19:55,-28.55,16.4333,59.18,82,17,15.26
161,Ribeira Grande,PT,2021-12-03 00:19:56,38.5167,-28.7,65.43,80,51,11.97
162,Usinsk,RU,2021-12-03 00:19:56,65.9939,57.5281,6.71,95,100,11.3
163,Vila Franca Do Campo,PT,2021-12-03 00:19:56,37.7167,-25.4333,59.2,79,40,0.56
164,Saldanha,ZA,2021-12-03 00:19:57,-33.0117,17.9442,58.98,75,16,14.74
165,Lar,IN,2021-12-03 00:19:57,26.2039,83.9717,65.43,62,25,1.86
166,Yerbogachen,RU,2021-12-03 00:19:57,61.2767,108.0108,-2.74,97,100,7.63
167,Yeppoon,AU,2021-12-03 00:19:58,-23.1333,150.7333,83.98,69,13,10.47
168,Port Shepstone,ZA,2021-12-03 00:19:58,-30.7414,30.455,67.8,83,100,17.2
169,Beni,CD,2021-12-03 00:19:58,0.5,29.4667,61.86,98,98,2.59
170,Alice Springs,AU,2021-12-03 00:19:59,-23.7,133.8833,94.55,14,1,14.97
171,Isangel,VU,2021-12-03 00:19:59,-19.55,169.2667,86.11,66,75,13.8
172,Ahipara,NZ,2021-12-03 00:19:59,-35.1667,173.1667,72.54,62,100,3.89
173,Kodinsk,RU,2021-12-03 00:20:00,58.6881,99.1844,22.75,90,100,6.29
174,Catacamas,HN,2021-12-03 00:20:00,14.8,-85.9,86.41,53,20,2.3
175,Tchibanga,GA,2021-12-03 00:20:00,-2.85,11.0333,71.31,98,100,1.25
176,Zyryanka,RU,2021-12-03 00:20:01,65.75,150.85,-22.25,97,100,24.87
177,Arraial Do Cabo,BR,2021-12-03 00:16:02,-22.9661,-42.0278,73.36,83,75,5.75
178,Torbay,CA,2021-12-03 00:20:01,47.6666,-52.7314,42.28,89,75,11.5
